Name,obs time,obs time error,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
Eclipse Begin : KELT-14 b,2020-12-09 03:21:57.194860,1.4046876150272587,82.79160560081894,75.09197368589064,126.32894134521484,45.38988494873047
Eclipse Mid,2020-12-09 04:27:35.738860,1.1905458529124904,83.12620677224997,74.39735103673279,131.18582153320312,57.13492965698242
Eclipse End,2020-12-09 05:33:14.282860,1.08432970320114,83.41626252696477,73.75909214171692,145.7582550048828,67.25411224365234
Eclipse Begin : KELT-14 b,2020-12-21 02:38:51.113021,1.3869513435364105,102.999190058948,79.65299493387428,126.4708480834961,46.1375846862793
Eclipse Mid,2020-12-21 03:44:29.657021,1.18136269416574,102.87753477628948,80.12451378250104,131.7267303466797,57.83086395263672
Eclipse End,2020-12-21 04:50:08.201021,1.0803230578428122,102.71049747171074,80.65453113976095,147.2054443359375,67.76642608642578
Eclipse Begin : KELT-14 b,2020-12-26 05:46:08.079713,1.0512913078435298,80.21653284241403,135.62045804994725,186.8084716796875,72.02869415283203
Eclipse Mid,2020-12-26 06:51:46.623713,1.0936734382083007,80.02935111588936,136.02533827046045,217.0293426513672,66.1135482788086
Eclipse End,2020-12-26 07:57:25.167713,1.2112062801249175,79.79875705668607,136.48910616376713,229.83251953125,55.65172576904297
Eclipse Begin : KELT-14 b,2021-01-02 01:55:53.162777,1.3693608709133485,69.90924565401664,143.89448960997842,126.63545989990234,46.90884017944336
Eclipse Mid,2021-01-02 03:01:31.706777,1.1722791215133352,70.06000673530386,143.42171996661799,132.32489013671875,58.54378128051758
Eclipse End,2021-01-02 04:07:10.250777,1.0764627723654479,70.17566526946499,143.00671996068752,148.78500366210938,68.27458953857422
Eclipse Begin : WASP-76 b,2020-10-24 01:42:16.715112,1.45546015691758,78.89754871271553,95.61466715760785,59.49920654296875,43.39845657348633
Eclipse Mid,2020-10-24 03:33:05.195112,1.1484112692754096,78.14363108173374,96.31336005907399,22.88433837890625,60.548030853271484
Eclipse End,2020-10-24 05:23:53.675112,1.177749308985362,77.21892402443099,97.18169886604609,327.0013122558594,58.11143493652344
Eclipse Begin : WASP-76 b,2020-11-22 00:43:29.476864,1.2457810614583928,57.79930212224469,87.73406146413872,44.98764419555664,53.38960266113281
Eclipse Mid,2020-11-22 02:34:17.956864,1.128068206746375,57.09550739327271,88.37975125919579,353.9267578125,62.4331169128418
Eclipse End,2020-11-22 04:25:06.436864,1.3136756162480183,56.23491261899244,89.17986556699529,308.3957824707031,49.57212829589844
Eclipse Begin : WASP-140 b,2020-09-13 07:36:45.846242,1.0832198056065554,72.06615864567975,54.71958430122399,84.04143524169922,67.3945541381836
Eclipse Mid,2020-09-13 08:22:11.766242,1.024084984030067,72.39725028690384,54.38250805685568,72.63734436035156,77.54918670654297
Eclipse End,2020-09-13 09:07:37.686242,1.0029575428749775,72.70056316759354,54.07407890484404,15.994044303894043,85.59882354736328
Eclipse Begin : WASP-140 b,2020-09-22 06:15:12.972477,1.193835942765805,140.2018992251151,66.01492196673884,89.92758178710938,56.891326904296875
Eclipse Mid,2020-09-22 07:00:38.892477,1.0845357804696412,140.06540171697182,66.56556467098765,84.15933227539062,67.22815704345703
Eclipse End,2020-09-22 07:46:04.812477,1.0247199245748688,139.91070164273177,67.13227263328423,72.9369125366211,77.389404296875
Eclipse Begin : WASP-140 b,2020-10-01 04:53:45.488450,1.3808530504877121,58.58352180705496,171.26598949113057,94.267578125,46.40150833129883
Eclipse Mid,2020-10-01 05:39:11.408450,1.195836663426237,58.465790725514985,171.47922640149943,89.99514770507812,56.74461364746094
Eclipse End,2020-10-01 06:24:37.328450,1.0857003613029519,58.33827233133705,171.70009722411655,84.26193237304688,67.08219909667969
Eclipse Begin : WASP-140 b,2020-11-08 05:08:55.223151,1.0073622151468034,85.1051929415122,93.68478305236545,53.52426528930664,83.06871032714844
Eclipse Mid,2020-11-08 05:54:21.143151,1.0066206808432634,85.42229827061573,93.35746886044308,309.01116943359375,83.42501831054688
Eclipse End,2020-11-08 06:39:47.063151,1.0408543007762099,85.7100722635972,93.0578422664179,281.8775939941406,73.8938217163086
Eclipse Begin : WASP-140 b,2020-11-17 03:48:09.620083,1.0431361059851871,132.49508639200226,26.44264125136169,78.62596893310547,73.46532440185547
Eclipse Mid,2020-11-17 04:33:35.540083,1.0073394540908107,132.19538728909845,27.015582338773477,53.45881652832031,83.0793685913086
Eclipse End,2020-11-17 05:19:01.460083,1.006640230863072,131.87408940652287,27.60311236392424,308.9317626953125,83.41537475585938
Eclipse Begin : WASP-140 b,2020-11-26 02:27:33.262360,1.1199150253308923,48.086100612607055,133.08274834115733,86.69061279296875,63.24311828613281
Eclipse Mid,2020-11-26 03:12:59.182360,1.0428807769768436,48.00545766029632,133.28786313262225,78.57341766357422,73.51264190673828
Eclipse End,2020-11-26 03:58:25.102360,1.0072566875138051,47.91306518455227,133.50415816427278,53.20242691040039,83.1182632446289
