Name,obs time,obs time error,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
Eclipse Begin : WASP-140 b,2020-12-05 01:07:05.948656,1.2525191717941713,80.88193788493514,125.94714490546313,91.65172576904297,52.97672653198242
Eclipse Mid,2020-12-05 01:52:31.868656,1.1191024791185589,81.26777456627336,125.54417807305971,86.64437103271484,63.325748443603516
Eclipse End,2020-12-05 02:37:57.788656,1.0424448314697006,81.62711869792469,125.17165879218784,78.48169708251953,73.59379577636719
Eclipse Begin : WASP-140 b,2021-01-03 02:46:33.813528,1.0272217201693736,100.15192620950185,131.15182323169688,285.961669921875,76.78013610839844
Eclipse Mid,2021-01-03 03:31:59.733528,1.0896556038770642,100.46183808976302,130.81230711615598,275.3907470703125,66.59516906738281
Eclipse End,2021-01-03 04:17:25.653528,1.2026170885664615,100.74141734688803,130.50108253105893,269.7733154296875,56.255184173583984
Eclipse Begin : GJ 9827 c,2020-07-21 07:46:46.108467,1.0964301575528308,134.55448917014056,8.765514042033455,15.288511276245117,65.79031372070312
Eclipse Mid,2020-07-21 08:41:31.036467,1.0994164356356515,135.19294363399774,9.387566340445959,341.6569519042969,65.44647216796875
Eclipse End,2020-07-21 09:36:15.964467,1.1687138275937503,135.79482199813515,9.97882222463997,315.5869140625,58.83067321777344
Eclipse Begin : GJ 9827 c,2020-08-01 06:25:24.425066,1.1322506503160492,72.64752225807872,150.1379312659525,35.38949203491211,62.03041458129883
Eclipse Mid,2020-08-01 07:20:09.353066,1.0907471136807483,72.22549169524227,150.52280704032805,5.11074161529541,66.46305847167969
Eclipse End,2020-08-01 08:14:54.281066,1.112914944759138,71.75906807440252,150.95209047264382,332.5232238769531,63.96697998046875
Eclipse Begin : GJ 9827 c,2020-08-12 05:04:15.305156,1.2041939126947594,64.44461037881297,83.4417925982253,49.99258041381836,56.14303970336914
Eclipse Mid,2020-08-12 05:59:00.233156,1.1123483213047418,64.879985138805,83.03606385433308,27.177669525146484,64.02679443359375
Eclipse End,2020-08-12 06:53:45.161156,1.0908505856713104,65.27252556340075,82.67287347771578,354.52978515625,66.4505844116211
Eclipse Begin : GJ 9827 c,2020-08-23 03:43:20.689640,1.3233471375074706,146.50340830524152,54.73198687697297,60.36151885986328,49.083038330078125
Eclipse Mid,2020-08-23 04:38:05.617640,1.1667193037547605,145.86864393545508,55.33567843521459,44.02601623535156,58.99298095703125
Eclipse End,2020-08-23 05:32:50.545640,1.0987924463861363,145.1960657117674,55.97600445784568,17.746885299682617,65.51779174804688
Eclipse Begin : GJ 9827 c,2020-11-15 01:32:05.932004,1.1291270508621023,121.74668580298052,4.108809711684484,325.6715087890625,62.33037567138672
Eclipse Mid,2020-11-15 02:26:50.860004,1.2436027733109505,121.01132110701761,3.6848605091498015,305.6069641113281,53.524898529052734
Eclipse End,2020-11-15 03:21:35.788004,1.4767611765809185,120.25184759471459,3.3379729128923543,293.0339660644531,42.62192153930664
Eclipse Begin : WASP-156 b,2020-11-20 03:24:11.871337,1.1328677199386106,88.06596748640017,64.90473995808433,344.551025390625,61.97169876098633
Eclipse Mid,2020-11-20 04:36:29.872777,1.2459308029619496,87.33677891625267,65.5998704553843,314.2468566894531,53.38033676147461
Eclipse End,2020-11-20 05:48:47.874217,1.5599450976732834,86.53577871138094,66.36318397563774,296.4740295410156,39.870025634765625
Eclipse Begin : WASP-70 A b,2020-07-14 05:30:45.798973,1.0366415486606813,82.819914564923,75.44601427946537,44.43151092529297,74.72090148925781
Eclipse Mid,2020-07-14 07:10:46.278973,1.048331616760579,83.5922638744793,74.72799324550718,307.62890625,72.53427124023438
Eclipse End,2020-07-14 08:50:46.758973,1.2795356192917249,84.23146114904142,74.14017258205091,279.61785888671875,51.40119934082031
Eclipse Begin : WASP-70 A b,2020-07-29 01:57:14.138693,1.4956621641043129,77.81178815096078,109.89786105582034,85.95396423339844,41.9591178894043
Eclipse Mid,2020-07-29 03:37:14.618693,1.1106221837460208,77.13159511129263,110.51596717782519,68.6029052734375,64.21019744873047
Eclipse End,2020-07-29 05:17:15.098693,1.019714247617377,76.32658963455505,111.25496252196812,357.6774597167969,78.71528625488281
Eclipse Begin : WASP-70 A b,2020-08-24 01:44:48.753341,1.1323038079791066,95.65344422815973,67.07859014659302,71.24407196044922,62.02534866333008
Eclipse Mid,2020-08-24 03:24:49.233341,1.0202975218131205,94.72349263355227,67.94268753674976,10.306957244873047,78.55229949951172
Eclipse End,2020-08-24 05:04:49.713341,1.0982830366440057,93.64261388986705,68.95596910751215,293.2723693847656,65.57621765136719
