,hostname,pl_letter,pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,ra,dec,pl_orbincl,pl_orbeccen,pl_orbpererr1,sy_vmag,sy_hmag,sy_jmag,sy_kmag,st_teff,st_rad,st_mass,pl_eqt,pl_trandep,pl_trandur,pl_tranmid
2175,HD 3167,d,HD 3167 d,8.509,0.07757,0.225,0.02171,8.7401487,4.3807215,,0.36,0.045,8.97,7.203,7.548,7.066,5261,0.86,0.86,,,,2457806.07
2193,WASP-107,b,WASP-107 b,5.72149,0.055,0.94,0.12,188.3864277,-10.1462141,89.7,0,2.00E-06,11.592,8.777,9.378,8.637,4430,0.66,0.69,770,2.17,2.7528,2456514.411
2206,K2-129,b,K2-129 b,8.239493,0.057,0.093,0.00352,289.1485491,-25.6463233,89.21,0.13,0.000292,13.639,9.102,9.697,8.852,3459.09,0.36,0.36,,0.0858,1.512,2457335.009
2216,WASP-156,b,WASP-156 b,3.836169,0.0453,0.51,0.128,32.782085,2.4181937,89.1,0.007,3.00E-06,11.559,9.473,9.906,9.339,4910,0.76,0.84,970,,2.41,2454677.707
2219,HD 34445,c,HD 34445 c,214.67,0.7181,0.752,0.168,79.4207483,7.3527156,,0.036,0.45,7.31,5.848,6.122,5.79,5836,1.38,1.07,,,,
2220,HD 34445,d,HD 34445 d,117.87,0.4817,0.542,0.097,79.4207483,7.3527156,,0.027,0.18,7.31,5.848,6.122,5.79,5836,1.38,1.07,,,,
2221,HD 34445,e,HD 34445 e,49.175,0.2687,0.38,0.0529,79.4207483,7.3527156,,0.09,0.045,7.31,5.848,6.122,5.79,5836,1.38,1.07,,,,
2222,HD 34445,f,HD 34445 f,676.8,1.543,0.613,0.119,79.4207483,7.3527156,,0.031,7.9,7.31,5.848,6.122,5.79,5836,1.38,1.07,,,,
2223,HD 34445,g,HD 34445 g,5700,6.36,1.21,0.38,79.4207483,7.3527156,,0.032,1500,7.31,5.848,6.122,5.79,5836,1.38,1.07,,,,
2225,GJ 9827,b,GJ 9827 b,1.2089819,0.0188,0.141,0.01545,351.7717763,-1.2853435,86.07,0,6.93E-06,10.37,7.379,7.984,7.193,4340,0.6,0.61,1043.5,0.0586,1.2648,2457738.826
4079,K2-24,c,K2-24 c,42.3391,0.247,0.669,0.04845,242.5734559,-24.9906029,89.76,0.07,0.0012,11.275,9.294,9.635,9.18,5625,1.16,1.07,560,0.4372,6.498,2456915.449
4080,K2-24,b,K2-24 b,20.88977,0.154,0.482,0.05978,242.5734559,-24.9906029,89.25,0.06,0.00034,11.275,9.294,9.635,9.18,5625,1.16,1.07,709,0.2213,5.49792,2456905.886
4095,K2-167,b,K2-167 b,9.977481,,0.252,0.0262,336.5761233,-18.011665,88.604,,0.001039,8.24,6.974,7.202,6.887,5908,1.83,1.02,,0.0275,3.27,2456979.937
4102,K2-265,b,K2-265 b,2.369172,0.03376,0.153,0.02058,342.0316493,-14.4947789,87.7,0.084,8.90E-05,11.187,9.312,9.726,9.259,5477,0.98,0.92,,0.03194,2.266,2456981.643
4121,K2-116,b,K2-116 b,4.655411,0.048,0.062,0.00081,336.1523363,-11.5793181,89.09,0.06,0.000486,10.8,8.020001,8.597,7.875,4348.35,0.67,0.69,,0.0129,1.89,2456979.948
4124,K2-65,b,K2-65 b,12.6475,0.1014,0.141,0.00982,333.2125206,-10.9261373,89.148,,0.0013,10.71,8.457,8.967,8.344,5213,0.84,0.87,,0.0391,3.43,2456986.33
4135,K2-39,b,K2-39 b,4.60543,0.05708,0.56,0.09,338.3682095,-9.0229405,80.39,0,0.00046,10.831,8.594,9.082,8.516,4881,2.97,0.66,1670,0.037,8.184,2456980.824
4205,K2-277,b,K2-277 b,6.326763,0.0675,0.185,0.0155,202.0161895,-15.9379749,88.686,,0.000355,10.364,8.748,9.081,8.687,5741,0.97,1.02,958,0.045,1.944,2457221.23
4210,K2-190,b,K2-190 b,10.098858,,0.121,0.00758,205.3630485,-13.1608686,88.357,,0.000619,11.138,9.447,9.834,9.41,5631,0.91,0.9,,0.00731,4.224,2457224.768
4228,K2-198,c,K2-198 c,3.3596055,,0.127,0.00822,198.8436817,-6.4649888,86.494,,4.00E-06,10.971,9.313,9.741,9.228,5212.9,0.76,0.8,1229.9,0.018,1.42008,2457215.032
4229,K2-198,d,K2-198 d,7.4500177,,0.218,0.0205,198.8436817,-6.4649888,89.86,,5.20E-06,10.971,9.313,9.741,9.228,5212.9,0.76,0.8,943.2,0.1082,3.0024,2457213.576
4230,K2-198,b,K2-198 b,17.0428683,,0.374,0.0514,198.8436817,-6.4649888,88.904,,7.10E-06,10.971,9.313,9.741,9.228,5212.9,0.76,0.8,715.8,0.2737,2.9592,2457204.569
