Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
Eclipse Begin : GJ 9827 b,2020-11-01 00:24:55.007379,1.1305824580041,52.22274035366776,174.05189405576994,34.82825469970703,62.190032958984375
Eclipse Mid,2020-11-01 01:02:51.647379,1.095911242996002,52.47522245919871,173.87986917222915,14.660408973693848,65.85072326660156
Eclipse End,2020-11-01 01:40:48.287379,1.0921697871186606,52.70961730466621,173.72077600922123,351.0989990234375,66.29229736328125
Eclipse Begin : GJ 9827 b,2020-11-07 01:29:35.188179,1.0974301507150201,125.10039289591639,107.48551125546916,343.6271667480469,65.67445373535156
Eclipse Mid,2020-11-07 02:07:31.828179,1.1346029418616905,125.47729253795437,107.12457386725353,323.86053466796875,61.80753707885742
Eclipse End,2020-11-07 02:45:28.468179,1.2084443604275283,125.8340591127912,106.78371246215991,309.4624938964844,55.843814849853516
Eclipse Begin : GJ 9827 b,2020-11-13 02:34:15.368979,1.2422522855100642,150.26419613448346,30.379179446614817,305.73663330078125,53.60923767089844
Eclipse Mid,2020-11-13 03:12:12.008979,1.3856264514821555,149.7390857869256,29.886819550035646,296.4510498046875,46.194618225097656
Eclipse End,2020-11-13 03:50:08.648979,1.616056399122127,149.2165268304602,29.396574666134182,289.417724609375,38.227848052978516
Eclipse Begin : GJ 9827 b,2020-11-30 00:47:19.875219,1.150545670293249,72.83376680043854,176.58090353187828,319.4769287109375,60.3603401184082
Eclipse Mid,2020-11-30 01:25:16.515219,1.2360189843738647,73.06438035582374,176.80266722335165,306.3510437011719,54.00312423706055
Eclipse End,2020-11-30 02:03:13.155219,1.3756433025043688,73.27946934931873,177.00852737558407,296.903564453125,46.62985610961914
Eclipse Begin : GJ 9827 c,2020-07-21 07:51:46.776318,1.0941056853379019,134.61429320753075,8.823497464126499,12.282492637634277,66.06248474121094
Eclipse Mid,2020-07-21 08:46:31.704318,1.1028388191652303,135.24964035892887,9.443089259032366,338.80194091796875,65.06012725830078
Eclipse End,2020-07-21 09:41:16.632318,1.1789398650554088,135.84791323101126,10.031128702660743,313.7571716308594,58.018558502197266
Eclipse Begin : GJ 9827 c,2020-08-01 06:31:33.181758,1.1242033310330435,72.60224430915127,150.17903681180826,32.523136138916016,62.812843322753906
Eclipse Mid,2020-08-01 07:26:18.109758,1.0901037361564927,72.17539291909152,150.56872989723644,1.2519009113311768,66.54081726074219
Eclipse End,2020-08-01 08:21:03.037758,1.1194818340088177,71.70383529166492,151.00315566222505,329.41119384765625,63.28712844848633
Eclipse Begin : GJ 9827 c,2020-08-12 05:11:19.587198,1.187596034771088,64.50329933635734,83.38696190256611,47.63529586791992,57.35586929321289
Eclipse Mid,2020-08-12 06:06:04.515198,1.1059528531349885,64.93306077871512,82.98679494087293,23.401472091674805,64.71543884277344
Eclipse End,2020-08-12 07:00:49.443198,1.0926451393663124,65.3202323415228,82.62895276646216,350.1447448730469,66.235595703125
Eclipse Begin : GJ 9827 c,2020-08-23 03:51:05.992638,1.2940222529045355,146.41601255674493,54.81506482520885,58.48587417602539,50.60457229614258
Eclipse Mid,2020-08-23 04:45:50.920638,1.152530545634507,145.77552223674832,55.42428853608396,40.996097564697266,60.1873779296875
Eclipse End,2020-08-23 05:40:35.848638,1.0947310790833136,145.09812683394395,56.069300973031964,13.153982162475586,65.98886108398438
Eclipse Begin : GJ 9827 c,2020-11-15 01:36:01.767678,1.1345371705719625,121.69487922413273,4.07662159499246,323.880615234375,61.8137321472168
Eclipse Mid,2020-11-15 02:30:46.695678,1.2555833425592267,120.957487846482,3.6569132580491517,304.5096740722656,52.79172134399414
Eclipse End,2020-11-15 03:25:31.623678,1.5004347853868303,120.19663916742559,3.3171259306622884,292.3102111816406,41.795467376708984
Eclipse Begin : GJ 9827 d,2020-06-30 08:11:35.389749,1.1643957311679527,137.07349916879244,115.59447939182931,43.574851989746094,59.183738708496094
Eclipse Mid,2020-06-30 08:48:16.429749,1.112116558194101,136.64890458483973,115.99424972450318,27.065858840942383,64.05131530761719
Eclipse End,2020-06-30 09:24:57.469749,1.0909128981326701,136.20735785995174,116.41043048603507,5.73824405670166,66.44307708740234
Eclipse Begin : GJ 9827 d,2020-07-31 08:22:10.343349,1.116370269265993,85.1143620446945,138.49874959205945,330.8155212402344,63.60623550415039
Eclipse Mid,2020-07-31 08:58:51.383349,1.172517949097832,84.74064836605817,138.84712366839688,314.88214111328125,58.52470779418945
Eclipse End,2020-07-31 09:35:32.423349,1.2686066509052585,84.34710920387879,139.21546784669232,303.4111022949219,52.02379608154297
Eclipse Begin : GJ 9827 d,2020-08-25 03:42:38.306229,1.2961868471402227,118.32074319611654,81.32784858574045,58.63472366333008,50.48821258544922
Eclipse Mid,2020-08-25 04:19:19.346229,1.189611309283057,117.96842939653439,81.65533719618885,47.94120788574219,57.20466613769531
Eclipse End,2020-08-25 04:56:00.386229,1.1256972011634212,117.59529786510494,82.00338969054309,33.089027404785156,62.665184020996094
Eclipse Begin : GJ 9827 d,2020-09-25 03:53:13.259829,1.0900884027388107,67.22379603106036,102.5385662381495,359.2641296386719,66.54267120361328
Eclipse Mid,2020-09-25 04:29:54.299829,1.105054318136334,66.92737626482986,102.80869316759463,337.21221923828125,64.81424713134766
