Name,obs_time,Primary eclipse observable?,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
HR 858 b,2020-10-18 05:33:34.559992,TRUE,2.7096 h,6201.0 K,5.473,42,90.75943558,0,156.3359257,230,230
HR 858 b,2021-01-05 02:57:44.351992,TRUE,2.7096 h,6201.0 K,5.473,42,90.75943558,0,156.3359257,230,230
HR 858 b,2020-11-23 02:11:49.919992,TRUE,2.7096 h,6201.0 K,5.473,42,90.75943558,0,156.3359257,230,230
HR 858 b,2020-11-05 03:52:42.239992,TRUE,2.7096 h,6201.0 K,5.473,42,90.75943558,0,156.3359257,230,230
K2-233 c,2020-07-25 01:33:53.280007,TRUE,2.6500008 h,4950.0 K,8.968,41,90.75943558,0,156.3359257,230,230
K2-233 c,2021-04-05 06:37:54.048007,TRUE,2.6500008 h,4950.0 K,8.968,41,90.75943558,0,156.3359257,230,230
K2-233 c,2021-04-12 08:06:20.736007,TRUE,2.6500008 h,4950.0 K,8.968,41,90.75943558,0,156.3359257,230,230
WASP-85 A b,2021-04-18 01:32:48.415366,TRUE,2.59584 h,6112.0 K,9.275,40,90.75943558,0,156.3359257,230,230
WASP-85 A b,2021-04-10 02:20:16.755526,TRUE,2.59584 h,6112.0 K,9.275,40,90.75943558,0,156.3359257,230,230
WASP-85 A b,2021-04-02 03:07:45.095686,TRUE,2.59584 h,6112.0 K,9.275,40,90.75943558,0,156.3359257,230,230
WASP-85 A b,2021-03-17 04:42:41.776006,TRUE,2.59584 h,6112.0 K,9.275,40,90.75943558,0,156.3359257,230,230
WASP-85 A b,2021-03-09 05:30:10.116166,TRUE,2.59584 h,6112.0 K,9.275,40,90.75943558,0,156.3359257,230,230
WASP-85 A b,2021-02-21 07:05:06.796486,TRUE,2.59584 h,6112.0 K,9.275,40,90.75943558,0,156.3359257,230,230
K2-38 c,2021-05-16 03:13:09.424019,TRUE,2.5330008 h,5757.0 K,9.911,39,90.75943558,0,156.3359257,230,230
K2-38 c,2021-03-24 07:53:44.464019,TRUE,2.5330008 h,5757.0 K,9.911,39,90.75943558,0,156.3359257,230,230
HD 21749 c,2020-11-20 02:11:44.735988,TRUE,2.5150008 h,4640.0 K,6.081,39,90.75943558,0,156.3359257,230,230
K2-38 c,2021-06-06 06:08:55.408019,TRUE,2.5330008 h,5757.0 K,9.911,39,90.75943558,0,156.3359257,230,230
HD 15337 b,2020-11-14 04:32:45.024017,TRUE,2.4899999999999998 h,5125.0 K,7.553,38,90.75943558,0,156.3359257,230,230
HD 15337 b,2020-08-06 07:26:46.464017,TRUE,2.4899999999999998 h,5125.0 K,7.553,38,90.75943558,0,156.3359257,230,230
HD 15337 b,2020-08-25 08:02:11.904017,TRUE,2.4899999999999998 h,5125.0 K,7.553,38,90.75943558,0,156.3359257,230,230
HD 15337 b,2020-10-07 03:21:54.144017,TRUE,2.4899999999999998 h,5125.0 K,7.553,38,90.75943558,0,156.3359257,230,230
HD 15337 b,2020-10-26 03:57:19.584017,TRUE,2.4899999999999998 h,5125.0 K,7.553,38,90.75943558,0,156.3359257,230,230
WASP-156 b,2020-11-20 04:43:42.675195,TRUE,2.4100007999999997 h,4910.0 K,9.906,37,90.75943558,0,156.3359257,230,230
K2-265 b,2020-08-19 05:30:26.108799,TRUE,2.2660008 h,5477.0 K,9.726,35,90.75943558,0,156.3359257,230,230
K2-265 b,2020-10-15 02:09:01.167999,TRUE,2.2660008 h,5477.0 K,9.726,35,90.75943558,0,156.3359257,230,230
K2-265 b,2020-09-07 04:23:17.795199,TRUE,2.2660008 h,5477.0 K,9.726,35,90.75943558,0,156.3359257,230,230
K2-265 b,2020-07-31 06:37:34.422399,TRUE,2.2660008 h,5477.0 K,9.726,35,90.75943558,0,156.3359257,230,230
K2-266 c,2021-05-03 01:01:55.200006,TRUE,2.2560000000000002 h,4285.0 K,9.611,35,90.75943558,0,156.3359257,230,230
K2-265 b,2020-06-23 08:51:51.049599,TRUE,2.2660008 h,5477.0 K,9.726,35,90.75943558,0,156.3359257,230,230
K2-266 c,2021-03-17 03:48:57.600006,TRUE,2.2560000000000002 h,4285.0 K,9.611,35,90.75943558,0,156.3359257,230,230
KELT-14 b,2021-01-07 06:12:23.372800,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2021-01-02 03:04:56.702080,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2020-12-26 06:55:01.141120,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2020-12-21 03:47:34.470400,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2020-12-09 04:30:12.238720,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2020-11-27 05:12:50.007040,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2021-01-19 05:29:45.604480,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2021-01-31 04:47:07.836160,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2021-03-20 01:56:36.762880,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2021-01-14 02:22:18.933760,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
KELT-14 b,2021-02-12 04:04:30.067840,TRUE,2.1880800000000002 h,5720.0 K,9.808,34,90.75943558,0,156.3359257,230,230
