,hostname,pl_letter,pl_name,pl_orbper,pl_orbsmax,pl_radj,pl_bmassj,ra,dec,pl_orbincl,pl_orbeccen,pl_orbpererr1,pl_orbpererr2,sy_vmag,sy_hmag,sy_jmag,sy_kmag,st_teff,st_rad,st_mass,pl_eqt,pl_trandep,pl_trandur,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2
1704,BD-06 1339,b,BD-06 1339 b,3.8728,0.0428,0.254,0.027,88.2511811,-5.9963378,,0.0,0.0004,-0.0004,9.7,6.517,7.128,6.305,4324.0,,0.7,,,,,,
1705,BD-06 1339,c,BD-06 1339 c,125.94,0.435,0.747,0.17,88.2511811,-5.9963378,,0.31,0.44,-0.44,9.7,6.517,7.128,6.305,4324.0,,0.7,,,,,,
1707,HD 109271,b,HD 109271 b,7.8543,0.079,0.385,0.054,188.39739699999998,-11.6215204,,0.25,0.0009,-0.0009,8.04,6.555,6.855,6.495,5783.0,,1.05,,,,,,
1708,HD 109271,c,HD 109271 c,30.93,0.196,0.47,0.076,188.39739699999998,-11.6215204,,0.15,0.02,-0.02,8.04,6.555,6.855,6.495,5783.0,,1.05,,,,,,
1716,WASP-80,b,WASP-80 b,3.06785234,0.0344,0.9990000000000001,0.538,303.16679960000005,-2.1444369,89.02,0.002,8.3e-07,-7.9e-07,11.841,8.513,9.218,8.351,4143.0,0.59,0.58,825.0,2.937,2.131,2456487.4250060003,2.3e-05,-2.5e-05
1719,HD 159868,c,HD 159868 c,351.0,1.032,1.25,0.768,264.7466665,-43.1462347,,0.184,1.1,-1.1,7.24,5.567,5.941,5.535,5534.0,2.13,1.19,,,,,,
1737,GJ 667 C,e,GJ 667 C e,62.24,0.213,0.129,0.008,259.7510609,-34.9977651,,0.02,0.55,-0.55,10.602,6.322,6.848,6.036,3350.0,,0.33,,,,,,
1738,GJ 667 C,f,GJ 667 C f,39.026,0.156,0.129,0.008,259.7510609,-34.9977651,,0.03,0.194,-0.211,10.602,6.322,6.848,6.036,3350.0,,0.33,,,,,,
1739,GJ 667 C,g,GJ 667 C g,256.2,0.549,0.177,0.014,259.7510609,-34.9977651,,0.08,13.8,-7.9,10.602,6.322,6.848,6.036,3350.0,,0.33,,,,,,
1787,HD 114613,b,HD 114613 b,4000.0,5.34,1.17,0.357,198.0111842,-37.8028236,,0.458,120.0,-120.0,4.85,3.346,3.692,3.303,5641.0,2.14,1.27,,,,,,
1819,Kapteyn,c,Kapteyn c,121.54,0.311,0.22699999999999998,0.022,77.9586613,-45.043019799999996,,0.23,0.25,-0.25,8.86,5.316,5.821,5.049,3550.0,0.29,0.28,,,,,,
1824,GJ 832,c,GJ 832 c,35.68,0.163,0.195,0.017,323.39126160000006,-49.0125169,,0.18,0.03,-0.03,8.66,4.766,5.349,4.501,3472.0,,0.45,,,,,,
1847,WASP-69,b,WASP-69 b,3.86814,0.04525,1.11,0.29,315.0259661,-5.094857,86.71,0.0,2e-06,-2e-06,9.873,7.543,8.032,7.459,4700.0,0.86,0.98,963.0,1.8,2.2296,2455748.83344,0.00018,-0.00018
1848,WASP-70 A,b,WASP-70 A b,3.7130203,0.048530000000000004,1.1640000000000001,0.59,315.4771912,-13.4333821,87.12,0.0,4.7e-06,-4.7e-06,10.786,9.714,9.996,9.58,5763.0,1.22,1.11,1387.0,0.97,3.3336,2455736.50348,0.00027,-0.00027
1849,WASP-84,b,WASP-84 b,8.5234865,0.0771,0.9420000000000001,0.694,131.10699590000002,1.8598933000000002,88.368,0.0,7e-06,-7e-06,10.825,8.956,9.346,8.855,5314.0,0.75,0.84,797.0,1.678,2.74848,2456286.10583,9e-05,-9e-05
1857,GJ 3293,b,GJ 3293 b,30.5987,0.14339000000000002,0.46299999999999997,0.07406,67.1484425,-25.1713396,,0.06,0.0083,-0.0084,11.945,7.749,8.362001,7.486,3466.0,0.4,0.42,,,,,,
1858,GJ 3293,c,GJ 3293 c,122.6196,0.36175,0.434,0.06636,67.1484425,-25.1713396,,0.11,0.2429,-0.2371,11.945,7.749,8.362001,7.486,3466.0,0.4,0.42,,,,,,
1859,GJ 3341,b,GJ 3341 b,14.207,0.089,0.21899999999999997,0.0208,78.9471415,-31.294845799999997,,0.31,0.007,-0.007,12.062,7.99,8.592,7.733,3526.0,0.44,0.47,,,,,,
1860,HIP 116454,b,HIP 116454 b,9.1205,0.0906,0.22,0.04,353.9543517,0.44470429999999994,88.43,0.2,0.0005,-0.0005,10.19,8.14,8.604,8.029,5089.0,0.72,0.81,690.0,0.097,,2456907.89,0.03,-0.03
1861,HD 564,b,HD 564 b,492.3,1.2,1.12,0.33,2.4694458999999997,-50.267899799999995,,0.096,2.3,-2.3,8.32,6.983,7.218,6.893,5902.0,1.01,0.96,,,,,,
1862,HD 30669,b,HD 30669 b,1684.0,2.69,1.27,0.47,72.1198522,-28.419075699999997,,0.18,61.0,-61.0,9.12,7.39,7.754,7.329,5400.0,0.91,0.92,,,,,,
1864,HD 103720,b,HD 103720 b,4.5557,0.0498,1.26,0.62,179.17133080000002,-2.7791392999999998,,0.086,0.0001,-0.0001,9.5,7.431,7.838,7.283,5017.0,0.73,0.79,,,,,,
1866,BD-11 4672,b,BD-11 4672 b,1634.0,2.36,1.25,0.65,278.3688659,-11.6370481,,0.05,13.0,-14.0,10.03,7.031,7.651,6.867,4550.0,0.64,0.65,,,,,,
1875,K2-3,b,K2-3 b,10.054626,0.074,0.177,0.020390000000000002,172.33537080000002,-1.4551364,89.588,0.0,1e-05,-1.1e-05,12.168,8.805,9.421,8.561,3896.0,0.56,0.6,504.0,0.1416,2.563,2456813.41843,0.00041,-0.00041
1876,K2-3,c,K2-3 c,24.646582,0.1345,0.139,0.00673,172.33537080000002,-1.4551364,89.905,0.0,4.1e-05,-4e-05,12.168,8.805,9.421,8.561,3896.0,0.56,0.6,374.0,0.0822,3.428,2456812.28018,0.00098,-0.001
1877,K2-3,d,K2-3 d,44.55646,0.2097,0.136,0.00881,172.33537080000002,-1.4551364,89.788,0.0,0.00011,-0.0001,12.168,8.805,9.421,8.561,3896.0,0.56,0.6,282.0,0.0782,4.17,2456826.22346,0.00056,-0.00056
