Name,obs_time,Transit Length,Effective Temperature,J-magnitude,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time,rank
WASP-156 b,2020-11-20 04:36:29.872777,2.4100007999999997 h,4910.0 K,9.906,37,90.75943557587073,0.0,156.33592570258094,230,230,1369.0
K2-265 b,2020-08-19 05:22:18.122614,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,4900.0
K2-265 b,2020-10-15 02:03:09.309457,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,4900.0
K2-266 c,2021-03-17 03:41:03.407517,2.2560000000000002 h,4285.0 K,9.611,35,90.75943557587073,0.0,156.33592570258094,230,230,2450.0
K2-265 b,2020-07-31 06:30:20.844739,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,4900.0
K2-266 c,2021-05-03 00:58:06.827937,2.2560000000000002 h,4285.0 K,9.611,35,90.75943557587073,0.0,156.33592570258094,230,230,2450.0
K2-265 b,2020-09-07 04:15:05.473294,2.2660008 h,5477.0 K,9.726,35,90.75943557587073,0.0,156.33592570258094,230,230,4900.0
KELT-14 b,2020-10-22 07:20:51.593092,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2020-11-03 06:37:28.451106,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2020-11-15 05:54:06.818472,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2020-11-27 05:10:48.652091,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2020-12-26 06:51:46.623713,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-01-07 06:08:52.441660,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-01-02 03:01:31.706777,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2020-12-09 04:27:35.738860,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2020-12-21 03:44:29.657021,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-01-31 04:43:32.251561,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-01-19 05:26:07.550122,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-01-14 02:18:42.761527,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-04-01 01:12:40.259771,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-03-20 01:54:37.769075,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-03-08 02:36:40.276171,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-02-12 04:01:06.380116,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
KELT-14 b,2021-02-24 03:18:49.392827,2.1880800000000002 h,5720.0 K,9.808,34,90.75943557587073,0.0,156.33592570258094,230,230,19652.0
HD 219666 b,2020-08-16 04:02:22.346553,2.1580008 h,5527.0 K,8.557,33,90.75943557587073,0.0,156.33592570258094,230,230,5445.0
