Name,obs_time,Primary eclipse observable?,Transit Length,Number of exposures possible,S/N median,Minimum S/N,Maximum S/N,Minimum Exposure Time,Maximum Exposure Time
TOI-270 b,2020-10-17 06:01:09.120016,True,1.3870008 h,22,93.27101611573761,"(0.0, 0.0)",0.0,220.0,220.0
TOI-270 b,2020-09-10 06:57:29.088016,True,1.3870008 h,22,92.39514815561498,"(0.0, 0.0)",0.0,220.0,220.0
TOI-270 b,2020-12-30 04:08:29.184016,True,1.3870008 h,22,92.47148007398565,"(0.0, 0.0)",0.0,220.0,220.0
TOI-125 c,2020-10-17 05:00:27.359992,True,2.9544 h,22,91.3228403344969,"(0.0, 0.0)",0.0,480.0,480.0
TOI-125 c,2020-12-11 02:41:33.215992,True,2.9544 h,21,90.4483758815679,"(0.0, 0.0)",0.0,480.0,490.0
KELT-10 b,2020-07-15 04:48:45.735992,True,3.7439999999999998 h,21,91.1059435947073,"(0.0, 0.0)",0.0,640.0,640.0
KELT-10 b,2020-08-09 04:45:22.125752,True,3.7439999999999998 h,21,89.94862752236895,"(0.0, 0.0)",0.0,640.0,640.0
TOI-125 c,2020-08-23 07:19:21.503992,True,2.9544 h,21,90.71556873178866,"(0.0, 0.0)",0.0,480.0,490.0
WASP-185 b,2021-05-14 01:58:33.039986,True,4.6080000000000005 h,21,92.77126701151116,"(0.0, 0.0)",0.0,750.0,770.0
KELT-10 b,2020-06-20 04:52:09.346232,True,3.7439999999999998 h,21,92.2928726009487,"(0.0, 0.0)",0.0,640.0,640.0
WASP-85 A b,2020-06-06 00:55:52.575046,True,2.59584 h,20,90.31888568953434,"(0.0, 0.0)",0.0,450.0,450.0
WASP-85 A b,2021-02-21 07:05:06.796486,True,2.59584 h,20,91.35991820667846,"(0.0, 0.0)",0.0,450.0,450.0
WASP-85 A b,2021-03-09 05:30:10.116166,True,2.59584 h,20,91.85471550084523,"(0.0, 0.0)",0.0,450.0,450.0
WASP-85 A b,2021-04-02 03:07:45.095686,True,2.59584 h,20,92.40495642539476,"(0.0, 0.0)",0.0,450.0,450.0
WASP-85 A b,2021-04-10 02:20:16.755526,True,2.59584 h,20,92.52963652261381,"(0.0, 0.0)",0.0,450.0,450.0
WASP-85 A b,2021-04-18 01:32:48.415366,True,2.59584 h,20,92.57335869458424,"(0.0, 0.0)",0.0,450.0,450.0
WASP-85 A b,2021-03-17 04:42:41.776006,True,2.59584 h,20,92.04618616856231,"(0.0, 0.0)",0.0,450.0,450.0
time,airmass,moon sep,moon phase,az,alt
2020-06-20 02:59:50.146232,1.301179098697975,144.52022667842851,166.2634573409867,134.93295288085938,50.2224006652832
2020-06-20 04:52:09.346232,1.101405547407391,145.48211680106786,167.1817432281481,157.7753448486328,65.220947265625
2020-06-20 06:44:28.546232,1.1055363194561427,146.45127365822003,168.10160657776373,203.996826171875,64.76117706298828
2020-07-15 02:56:26.535992,1.1170718742464159,120.8157423349713,113.357679266232,152.0903778076172,63.5338134765625
2020-07-15 04:48:45.735992,1.0931407793960553,121.86022487918022,114.2247787072429,197.67575073242188,66.17666625976562
2020-07-15 06:41:04.935992,1.2658553143428413,122.80449736890439,115.09306116598728,223.86325073242188,52.18361282348633
2020-08-09 02:53:02.925752,1.085180875672338,95.90185849531322,61.82344586920494,190.56112670898438,67.14715576171875
2020-08-09 04:45:22.125752,1.2225373879786814,96.70332209296511,62.66912490301585,221.7392578125,54.88218688964844
2020-08-09 06:37:41.325752,1.6865087409065738,97.3911280087644,63.514579152651926,228.6107635498047,36.36598205566406
